subject_id,decision_threshold,val_eer,val_auc,p1_auc,p1_far,p1_frr,p2_auc,p2_far,p2_frr
29,-0.5022146679112003,0.0517094017094017,0.9292877492877494,0.8974074074074073,0.007692307692307693,0.2,0.9203258547008546,0.054914529914529914,0.325
30,-0.16039044880685793,0.018376068376068373,0.9910256410256411,0.9845868945868946,0.011111111111111112,0.03333333333333333,0.9233778490028491,0.051709401709401706,0.275
31,0.5319172842493671,0.0017094017094017094,0.9985185185185186,0.9642165242165243,0.005128205128205128,0.13333333333333333,0.9770014245014245,0.020085470085470087,0.55
32,1.0024230420825726,0.00042735042735042735,0.9991452991452991,0.9988319088319089,0.0008547008547008547,0.13333333333333333,0.9273771367521368,0.010256410256410256,1.0
33,-0.582317203986829,0.007264957264957265,0.9978632478632479,0.9976353276353277,0.03076923076923077,0.0,0.9588532763532763,0.051709401709401706,0.09166666666666666
34,-0.4974046558317713,0.004700854700854701,0.9956695156695157,0.9982336182336182,0.017094017094017096,0.0,0.9364583333333333,0.0405982905982906,0.38333333333333336
35,-0.5728241490793033,0.005555555555555556,0.9971794871794872,0.9967236467236468,0.017948717948717947,0.0,0.9988105413105413,0.027136752136752137,0.0
36,0.09333978590815728,0.018376068376068373,0.9676923076923077,0.9583760683760684,0.002564102564102564,0.5333333333333333,0.8986787749287749,0.02905982905982906,0.5583333333333333
37,0.22609087222478497,0.001282051282051282,0.9992307692307693,0.995954415954416,0.010256410256410256,0.03333333333333333,0.9787731481481481,0.013247863247863248,0.3416666666666667
38,0.3221686327132982,0.001282051282051282,0.9975213675213676,0.9956980056980057,0.005128205128205128,0.03333333333333333,0.9349643874643875,0.026923076923076925,0.7083333333333334
39,1.2199898493736987,0.0,1.0,0.9982905982905983,0.0017094017094017094,0.0,0.9725356125356125,0.00811965811965812,0.7416666666666667
40,1.4679328784606365,0.003418803418803419,0.9980911680911682,0.9934472934472935,0.002564102564102564,0.7,0.908659188034188,0.01282051282051282,0.9916666666666667
